Name,Account,Time,Comments,Retweets,Text
UmarAshfaq,@UmarAshfaqDL,Aug-04,2,1,"In this age of #DigitalIndia the E-commerce giant #Flipkart is not accepting any kind of Digital Payments while Cash on Delivery. They need hard cash. Rather other companies like #amazonindia have all digital modes of payments during Cash on Delivery. 
""Need urgent INTERVENTION"""
Saurabh Chhabra,@sunnyy43,Jul-22,2,,Fraud Alert #Flipkart in collaboration with #IDFCFIRSTBank utilizing customer payments against rules and using funds..on the name of #flipkartpaylater . Customer makes payments within 30 days and Flipkart uses the so called funds for extended period before paying back #IDFC
raghav mehta,@raghavm22,Jul-21,1,,"How to make payments? How to contact anyone? How to carry on daily life without phone?

Furious at 
@Flipkart
 for misplacing phone & not responding. It's been 2 weeks.

Will do everything in my power to defame this pathetic company.
#Flipkart #onlineshopping #consumerprotection"
VARINDIA,@varindiamag,Jul-13,,1,"Digital transformation is shaping up the payments industry 
https://youtu.be/dqaD7nXJCok via 
@YouTube
  
.
#VarIndia_News_Hour #Datacentre #IT_infrastructure #increasing_data_traffic #Artificialintelligence #AI #DCaaS #Flipkart #technews #SMohiniRatna #VARINDIA"
Surya Collection,@SuryaCollectio2,Jul-13,2,,My payments are blocked since 2nd of July and there is no update on it. Totally unhappy with many similar scenarios. #Flipkart #Flipkartsellersupport
Digpu,@DigpuNews,Jul-05,,,"Director of Business at PhonePe, said digital payments adoption has become widespread over the past few years due to UPI

#ecommerce #FlipKart #PhonePe #UPI #Digpu #News"
United News of India,@uniindianews,Jul-05,,,"#PhonePe, India’s largest digital payments platform on has said that it has partnered with #Flipkart  to launch contactless Scan and Pay for Flipkart’s pay-on-delivery orders."
ePay Technologies,@ePayindia,Jul-02,,,#ecommerce #flipkart #walmart #amazon #amazonindia #online #onlineshopping #local #localbusiness #onlinebusiness #digitalmarketing #marketing #socialmedia #socialmediamarketing #facebook #whatsapp #fintech #fintechs #payment #payments
DailyDealsIndia,@DailyDealsIndi1,Jul-01,,,"Replying to 
@flipkartsupport"
ePay Technologies,@ePayindia,Jul-01,,,#fintech #payments #business #finance #money #smallbusiness #ecommerce #cardpayments #payment #fintechs #mcommerce #online #onlinebusiness #onlineshopping #walmart #flipkart #amazon #amazonindia #ajio #myntra #tatacliq
AnkurBansal2002,@Itz_ankurbansal,Jun-30,8,16,"@Flipkart
 
@flipkartsupport
 #Flipkart

Having my Approved payments in Flipkart Affiliate from last 10 months. I already sent all the documents and my account is also fully verified. Help me as soon as possible !"
Yash Singh Chauhan(Yagvendar),@yashchauchan,Jun-23,,,"Never Do PRE payments on FLIPKART. 
I had order a phone and Paid full amount after discount through CC .Due to your uneducated idiot Delivery person I lost my 6 yr old Datas.

#SaynotoFLIPKART
#FakeFlipkart #Flipkart #FRAUD 

@Flipkart
 
@_Kalyan_K"
ePay Technologies,@ePayindia,Jun-21,,,#ecommerce #online #onlineshopping #onlinebusiness #mcommerce #startup #startups #fintech #fintechs #payment #payments #amazon #amazonindia #flipkart #walmart #tatacliq #jio
Suresh Victor,@suresh_089,Jun-14,,1,"When marketing team is more innovative than the tech team, even a simple QR code for making payments can be promoted as the next big thing. 

#CovidInnovations #marketing #pr #Flipkart #justforfun #startup"
BitcoinWorld,@BitcoinW0rld,Apr-01,,,"India’s biggest e-commerce company, #Flipkart, advocated that it is now accepting #Bitcoin  payments.
#cryptocurrency #CryptoNews #BitcoinW0rld #India"
CoinsCapture,@CoinsCapture,Apr-01,,,"News: Flipkart Accepting Bitcoin payments or its just April fool
https://bit.ly/31C8GTr

#flipkart #1stApril #AprilFoolsDay #btc #bitcoin #bitcoinnews"
Cryptassist,@Cryptassist2,Apr-01,,,"#Flipkart has said that it will be accepting #Bitcoin payments. India planning to ban crypto and Flipkart making such decisions?
April Fool's Joke, eh?
If India announces any good news for crypto enthusiasts, man, everyone's going to the mooooon."
Vineet Bhojnagarwala,@vbhoj74,Mar-30,1,,"My data was leaked because I made payments for mobile/gas using 
@Flipkart
 and they use 
@MobiKwik
 . Even #Flipkart is not informing their customers. #mobikwik #MobikwikDataLeak #DataLeak"
CIOReviewIndia,@CIOReview_India,Mar-26,,,"Tata to get hold of NPCI'S #Aadhaar Payments Systems With #Universal PoS, Sound-Based.

The #organization has assembled a consortium with #banks, #Flipkart, #Mastercard for #NUE permit

Read More- https://bit.ly/2Pvw1TU

#CIOReviewIndia #Payments"
Monish Agrawal,@monishagrawal51,Mar-01,,,"Walmart recent move to create a banking unit seems motivated from the success of its Phonepe unit in India (India's largest digital payments platform).

#Fintech #Walmart #Phonepe #Flipkart #Banking #GOLDMANSACHS
#banking"
SKPrakash,@SunilKPrakash,Feb-20,,,"#onlineshoppers please do not use 
@ZestMoney
 #emi for payments on 
@amazon
 #amazon.in 
@flipkart
 #flipkart and other shopping portals 
@ZestMoneyCares
 
@ChapmanLizzie
 trust me you will #suffer once you use it."
COVID Physician,@Covidphysician,Feb-05,,,"Hey 
@Flipkart
 payments aren't going through using 
@ICICIBank
  Debit card. Error message says; transaction has been declined by the bank. What's going on? #Flipkart #ICICIBANK"
Patti Hewitt,@PaymentGal,Jan-28,,,Further signs that the Indian market is entering a new maturity phase - #Flipkart  lets customers use reward points for in-store payments  #creditcardrewards
Tony Poulos,@tonypoulos,"Dec 11, 2020",,,Indian e-commerce firm Flipkart and digital payments business PhonePe have room for other investors and could raise money in several ways. #Flipkart #PhonePe #India #ecommerce
Flying Eze,@flyingeze,"Dec 11, 2020",,,"Walmart’s PhonePe zips past Google Pay in India as UPI tops 2B monthly transactions
#Apps #Asia #Payments #Amazon #Pay #Flipkart #Google #Pay #India #Paytm #Phonepe #Walmart
https://ask.flyingeze.com/p/walmarts-phonepe-zips-past-google-pay-in-india-as-upi-tops-2-billion-monthly-transactions…"
Aerospike,@aerospikedb,"Dec 10, 2020",,,"Aerospike congratulates our customer 
@Flipkart
, as they spin off PhonePe to grow in the digital payments space. https://snip.ly/i9xlok #Flipkart #PhonePe #NoSQL"
Twitte,@Twitte84484202,"Dec 8, 2020",,,"Flipkart Phonepe Wallet: How To Use Phonepe UPI Based Wallet To Make Payments? https://goodreturns.in/classroom/2016/08/flipkart-phonepe-wallet-how-use-phonepe-upi-based-wallet-make-payments-489088.html?utm_source=twitter&utm_medium=mweb&utm_campaign=SocialShare… #flipkart via 
@GoodReturnsIN"
ePay Technologies,@ePayindia,"Dec 8, 2020",,,"Indian ecommerce industry triumphs against the odds in a pandemic

 #ecommerce #amazonindia #amazon #flipkart #walmart #paytmmall #jiomart #reliance #tatagroup #tatacliq #snapdeal #retailing #payments #payment #fintechs #fintechs"
Vijaynand Mishra,@vnmheart,"Dec 8, 2020",,,"RT:
@moneycontrolcom
:How 
@Flipkart
's 
@PhonePe_
 will make its way in crowded payments markets post partial spin-off. Details : https://moneycontrol.com/news/business/companies/3-point-analysis-how-flipkarts-phonepe-will-make-way-in-crowded-payments-markets-after-partial-spin-off-6201171.html…

#Flipkart #PhonePe #DigitalPayments #DigitalIndia"
moneycontrol,@moneycontrolcom,"Dec 7, 2020",,3,"How 
@Flipkart
's 
@PhonePe_
 will make its way in crowded payments markets post partial spin-off. Details : https://moneycontrol.com/news/business/companies/3-point-analysis-how-flipkarts-phonepe-will-make-way-in-crowded-payments-markets-after-partial-spin-off-6201171.html…

#Flipkart #PhonePe #DigitalPayments #DigitalIndia"
Ai | Airline Info,@Ai_Connects_Us,"Dec 7, 2020",,,"PhonePe,  the crown jewel in Flipkart’s acquisition by Walmart, is “partially” spinning of. To kick off its new journey, the firm said it has secured $700 million in a new financing round via https://techcrunch.com/2020/12/02/phonepe-raises-700-million-becomes-a-separate-entity/…

#payments #Walmart #Flipkart #mobilewallet"
Tony Poulos,@tonypoulos,"Dec 4, 2020",,,"PhonePe, the digital payments unit of Walmart's Indian e-commerce arm #Flipkart said it would sell a stake for $700 million, helping it fuel growth in a crowded market that includes Google and Amazon. #PhonePe #India #Walmart"
Disruptive.Asia,@DisruptiveAsia,"Dec 4, 2020",,,"PhonePe, the digital payments unit of Walmart's Indian e-commerce arm #Flipkart said it would sell a stake for $700 million, helping it fuel growth in a crowded market that includes Google and Amazon. #PhonePe #India #Walmart"
Pakistan News,@paknews,"Dec 4, 2020",,,Flipkart to spin off digital payments business - http://paknews.eu/2717219/flipkart-to-spin-off-digital-payments-business?via=tw… #flipkart
TechGalena,@techgalena,"Dec 3, 2020",,,"Announcing d deal on Thur, #Flipkart announced d8 d payments company, thus far  fully-owned entity of India's largest e-commerce firm, was being 'partially' spun off in2 a separate entity n will get a new Board of Directors d8 should better represent its new shareholding pattern."
Mudit Gera,@GeraMudit,"Dec 3, 2020",,,Ecommerce major Flipkart has partially hived off digital payments startup PhonePe into a separate entity.#Flipkart #FlipkartPhonePe #FlipkartValuation #PhonePe #PhonePeValuation https://technoingg.com/flipkart-hives-off-phonepe-invests-700-million-pushing-valuation-to-5-5-billion/…
Tarak H. Rindani,@TarakRindani,"Dec 3, 2020",,1,"#India's  #Wallmart-owned #eCommerce firm #Flipkart to spin off 
@PhonePe_
; digital #payments business valued at $5.5 Bn.

The move is aims at widen the #DigitalPayments platform's access to growth capital. PhonePe will raise $700 Mn in primary capital."
Jais George,@jais_george,"Dec 3, 2020",,,"ETTelecom | Flipkart hives off PhonePe, digital payments company to be valued at $5.5 billion #Phonepe #Flipkart #DigitalPayments #Valuation #Walmart #HiveOff #FinTech #MVASApps"
ETTelecom,@ETTelecom,"Dec 3, 2020",1,,"ETTelecom | Flipkart hives off PhonePe, digital payments company to be valued at $5.5 billion #Phonepe #Flipkart #DigitalPayments #Valuation #Walmart #HiveOff #FinTech #MVASApps"
Tarak H. Rindani,@TarakRindani,"Dec 3, 2020",,1,"#India's  #Wallmart-owned #eCommerce firm #Flipkart to spin off 
@PhonePe_
; digital #payments business valued at $5.5 Bn.

The move is aims at widen the #DigitalPayments platform's access to growth capital. PhonePe will raise $700 Mn in primary capital."
Jais George,@jais_george,"Dec 3, 2020",,,"ETTelecom | Flipkart hives off PhonePe, digital payments company to be valued at $5.5 billion #Phonepe #Flipkart #DigitalPayments #Valuation #Walmart #HiveOff #FinTech #MVASApps"
ETTelecom,@ETTelecom,"Dec 3, 2020",1,,"ETTelecom | Flipkart hives off PhonePe, digital payments company to be valued at $5.5 billion #Phonepe #Flipkart #DigitalPayments #Valuation #Walmart #HiveOff #FinTech #MVASApps"
Inc42,@Inc42,"Dec 3, 2020",,,"#Flipkart announced a partial spin-off of its digital payments company 
@PhonePe_
, partially selling its stake in the firm to its parent Walmart"
IANS Tweets,@ians_india,"Dec 3, 2020",1,,"#Ecommerce marketplace #Flipkart (
@Flipkart
) on Thursday announced a partial spin-off of digital payments platform #PhonePe (
@PhonePe_
) in a bid to help it access dedicated, long-term capital to fund its growth ambitions over the next three to four years.

Photo: IANS (File)"
Peerzada Abrar,@PeerzadaAbrar,"Dec 3, 2020",,,"#Flipkart to spin-off #PhonePe, payments firm to be valued at $5.5 billion. In just four years since its founding, PhonePe has crossed the 250 million registered user milestone. #walmart #amazon #google"
Rakshan N Kangovi,@RakshanKangovi,"Dec 3, 2020",,,"#Flipkart hives off #PhonePe , digital payments company to be valued at $5.5 billion.

#digitalpayments #epayments #payments #walmart #mobileapps"
ePay Technologies,@ePayindia,"Nov 9, 2020",,,"E-commerce: Time to build muscle through strategic purchases or alliances

#ecommerce #amazonindia #amazon #flipkart #walmart #jiomart #relianceretail #tatagroup #tatacliq #paytmmall #snapdeal #payments #payment #fintech #fintechindia #fintechs"
??? ????? ??,@iOS_traderr,"Nov 6, 2020",1,,"#Paytm, #Flipkart, #Amazon continue to add use cases – payments, ecommerce, ticketing, etc.
But none of these platforms have so far been able to scale in newer verticals, and cross-selling continues to be limited across the #internet ecosystem in #India 
#indiainternet 9/n"
ASCEND,@AscendNews,"Nov 6, 2020",,,"WhatsApp payments, Adani's embarrassment, World's best bar and more news
Read here: https://bit.ly/2TVMH6f

Business news and insights in under 5 minutes, delivered to your inbox.

#newsletter #businessnews #1mg #tatagroup #flipkart #appleindia #WhatsAppPay #Reliance"
theDailySmarts,@theDailySmarts,"Nov 5, 2020",1,1,"Today's issue 
https://mailchi.mp/thedailysmarts.com/interest-on-interest-5452209…

SBI Q2 results, Self-regulation for digital payments companies, Flipkart acquires Mech Mocha, USA elections

#India #businessIndia #startups #startupIndia #Trump #USElections #coronavirus #COVID19 #ecommerce #Flipkart #BidenHarris"
Praveen Bhajanka,@techblastt,"Nov 4, 2020",1,3,"My #Flipkart  Affiliate account Approved payments whenever reaches the threshold, it decreases again in a few days. I believe Approved payments means I am going to get that payment. I am facing this issue since 3-4 months and fed up. Need solution 
@Flipkart
 
@flipkartsupport"
European Chamber of Digital Commerce,@Juchtervbergen,"Nov 2, 2020",,1,DigitalChamber #Apps #Asia #Payments #amazonpay #Flipkart Walmart’s PhonePe zips past Google Pay in India as UPI tops 2B monthly transactions http://dlvr.it/RkpkJ9
ePay Technologies,@ePayindia,"Nov 2, 2020",,,"The hinterland (Bharat) for rescue or the new turf...ecommerce reaches Bharat

#snapdeal #flipkart #tatagroup #tatacliq #amazon 
#amazonindia #paymentservices #amazon #ecommerce #fintech #payment #payments #jiomart #relianceretail…https://lnkd.in/dQXs6hK"
ePay Technologies,@ePayindia,"Oct 30, 2020",,,"Ambani stares at a rival who can match him rupee for rupee

Tata Vs Reliance
 #retailing #retailstrategy #walmart #relianceretail # #tatagroup #reliance #jiomart #futuregroup #jio #paytm #digitalpayments #flipkart #amazonindia #amazon #payments #payment"
Prajjwal,@PrajjwalPorwal,"Oct 17, 2020",2,,"What the hell is this 
@Flipkart
 
@flipkartsupport
 ? A notification channel of pending payments is being used to display offers as notifications?
This is really unprofessional!
Demanding an explanation!

@walmartindia
 
@WalmartInc
 
@_Kalyan_K
 
@fs0c131y
 
#Flipkart #spam #Annoyance"
ePay Technologies,@ePayindia,"Oct 17, 2020",,,#ecommerce #flipkart #amazon #mcommerce #payment #payments #onlineshopping #onlinestore #onlinesellers #bharat #walmart #fintech #fintechs #amazonindia #tatacliq #jioplatforms
Amazing Deals 360°,@Amazingdeals360,"Oct 16, 2020",,,"Lowest : Motorola AmphisoundX with HDMI ARC 100 W Bluetooth Soundbar  (Black, 2.1 Channel)

?4999 + Use 500 Supercoins + ?125 cashback using Paytm Wallet payments

https://flipkart.com/motorola-amphisoundx-hdmi-arc-100-w-bluetooth-soundbar/p/itm19b4ddf8df16b?pid=ACCFST8JJWCRTBHJ&pageUID=1602138777919&affid=uniquedeals73…

#Flipkart #BigBillionDays"
Deepankar Pathak,@dp2web,"Oct 16, 2020",,,"Online sales to witness 34% upsurge this festive season: Forrester Report http://ow.ly/Qlqo50BUif0

#BigBillionDays #GreatIndianfestival #ecommerce #paytm #amazon  #flipkart #phonepe  #pos #GMV #onlinesale #Covid_19 #Shopping #payments #cards #upi"
ePay Technologies,@ePayindia,"Oct 16, 2020",,,"Social Media Impact
 #instagram #socialmedia #internet #facebook #onlineshopping #ecommerce #mcommerce #startups #jiomart #tatacliq #flipkart #amazonindia #amazon #paytm # #digitalpayments #payments"
ePay Technologies,@ePayindia,"Oct 15, 2020",,,"Festive Season Online...
 #ecommerce #onlinesales #shopping #flipkart #amazon #amazonindia #walmart #jiomart #paytmmall #shopclues #mcommerce #payment #payments"
VCBay News,@VcbayN,"Oct 14, 2020",,,"#Bengaluru based #payments #gateway #startup #Razorpay raised US$ 100 #million, has become the 5th #Indian #fintech firm to achieve ‘unicorn’ status. #online #BillDesk #Flipkart #PhonePe #insurtech #PolicyBazaar #billion.
https://buff.ly/3dq3JCd

#vcbay #vcbaynews #business #ceo"
ePay Technologies,@ePayindia,"Oct 12, 2020",,1,#bankingservices #amazonindia #amazon #flipkart #walmart #ecommerce #mcommerce #tatagroup #tatacliq #reliance #jioplatforms #fintechs #fintechs #startupindia #payment #payments
Fintech India Expo,@fintechindiaexp,"Sep 18, 2020",,,"@Flipkart
 On-Boards 
@PhonePe_
 Rival 
@Paytm
 As #DigitalPayment Option
Sources believe that the move is aimed at getting more sales for #Flipkart during the upcoming festive season

Follow 
@fintechindiaexp
 to know more about #Fintech.

Visit - https:"
ePay Technologies,@ePayindia,"Sep 18, 2020",,,#ecommerce #mobilecommerce #retailing #commerce #digital #salesandretail #retailstrategy #payments #paymentsolutions #retail #onlineshopping #googlepay #bnpl #mastercard #creditcards #visa #rupay #amazonindia #flipkart
Economic Times,@EconomicTimes,"Sep 17, 2020",1,3,"In a surprising move, #Flipkart has started integrating #Paytm's e-wallet on its platform even as it continues to compete with its unit #PhonePe for the high stakes online payments market."
Aggarwal Books India,@Aggarwal_Books,"Sep 15, 2020",,,"Replying to 
@IndiaPOCO
 
@Flipkart
 and 
@MediaTek"
Aggarwal Books India,@Aggarwal_Books,"Sep 15, 2020",,,"Replying to 
@realmeIndia
 
@realmemobiles
 and 
@Flipkart"
Aggarwal Books India,@Aggarwal_Books,"Sep 15, 2020",,,"Replying to 
@FlipkartSellers"
Aggarwal Books India,@Aggarwal_Books,"Sep 15, 2020",,,"Replying to 
@FlipkartSellers"
Aggarwal Books India,@Aggarwal_Books,"Sep 15, 2020",,,"Replying to 
@Flipkart
 and 
@eyehinakhan"
Aggarwal Books India,@Aggarwal_Books,"Sep 15, 2020",,,"Replying to 
@Flipkart"
ePay Technologies,@ePayindia,"Sep 14, 2020",,,"E-commerce giants look to join hands with local retailers ahead of festive season

 #ecommerce #mcommerce #bnpl #retailstrategy #digitalpayments #mastercard #visa #rupay #creditcards #payment #payments #fintech #amazonindia #amazon #flipkart #jiomart"
ePay Technologies,@ePayindia,"Aug 29, 2020",,,"'E-commerce retail market expected to cross USD 100-billion mark by 2024'

 #ecommerce #mcommerce #jioplatforms #relianceretail #amazon #amazonindia #walmart #walmartindia #flipkart #futuregroup #myntra #fintech #fintechs #payments #payment"
ePay Technologies,@ePayindia,"Aug 26, 2020",,,"Tatas set to take on Amazon, Reliance in ecommerce

https://lnkd.in/dG4xXQi

 Interesting times in ecommerce space in India...Tata Group all set...with Super App

 #ecommerce #mcommerce #tatacliq #tatagroup #amazon #flipkart #payment #payments"
Adarsh kumar,@adarsh15kr,"Aug 23, 2020",1,,"#flipkartfraud #Flipkart #flipkart_affiliate
I have collected more than approved payments 3300? in flipkart affiliate program but now shows only 810? . while
they have not pay me .
always says  your document disapproved.
i have uploaded more than 4 times all the documents."
ePay Technologies,@ePayindia,"Aug 18, 2020",,,#ecommerce #mcommerce #grocery #retail #payment #payments #amazon #flipkart
The Asian Age,@TheAsianAgeNews,"Aug 17, 2020",,,Digital payments platform #PhonePe is expanding its financial services to include insurance and mutual funds products. The #Flipkart #payments solutions company has added six new products. https://asianage.com/technology/in-other-news/170820/phonepe-seeks-to-increase-user-base-with-new-insurance-and-mutual-funds-products.html…
Deccan Chronicle,@DeccanChronicle,"Aug 17, 2020",,,Digital payments platform #PhonePe is expanding its financial services to include insurance and mutual funds products. The #Flipkart #payments solutions company has added six new products
Deepak Kataria,@katariasahab90,"Aug 16, 2020",,14,"#flipkartfraudwithsellers as I am seller on #flipkart after lockdown Flipkart not giving payments as per the sale 
@Flipkart
 
@FlipkartSellers
 
@FlipkartStories
 
@flipkartsupport"
ePay Technologies,@ePayindia,"Aug 3, 2020",,,#amazon #flipkart #insurance #insuranceindustry #irdai #ecommerce #fintech #insurtech #payments
sagar suman,@Sagarsuman_here,"Jul 28, 2020",1,,"@_Kalyan_K
 
@flipkartsupport
 
@Flipkart
 Item ordered on 21st June , still not delivered and still not refunding the payments after failing to keep the promise of delivery 3 times. #FlipkartSucks #Flipkart"
TR Agro Research,@tragroindia,"Jul 22, 2020",1,,"@Flipkart
 please give my payments.. Been a #Flipkart seller from 9 months but not getting my payments from them."
ePay Technologies,@ePayindia,"Jul 21, 2020",,,#amazon #amazonindia #flipkart #ecommerce #smbs #india #fintech #fintechs #payments #payment
CA Karun Mandava,@KarunMandava,"Jul 16, 2020",,,"#Flipkart, known for its innovation in the payments space with cash on delivery and no-cost EMI options, has now come up with another creative solution: part payment option. The idea of this new feature is to reduce the frequency of the number of cancel orders."
Vivek,@CupidVV,"Jul 4, 2020",,,"Dear 
@Flipkart
 someone is using user name and 
@Facebook
 app's advertising feature to do a scam.

Mobile phones are being sold for 1699 only and all the payments are being accepted via UPI.

#beware


@Facebook
 please screen what you advertise. 

Thanks!

#India
#Flipkart
#fake"
Devendra Narain,@narain41,"Jul 1, 2020",,1,"Ban on 59 apps has shaken Chinese. We can shake them further by boycotting online marketing, service and payments platform in which Chinese have made heavy investment:
#BigBasket #Byju’s #Delhivery #Dream11 #Flipkart #Hike 
#MakeMyTrip #Ola #Oyo #Paytm #PaytmMall #PolicyBazzar"
ePay Technologies,@ePayindia,"Jun 26, 2020",,,#ecommerce #mcommerce #retailindustry #fashionretail #payment #payments #shoppingcentres #shoppingmalls #amazon #flipkart #myntra
Kiran Birajdar,@KiranBirajdar,"Jun 25, 2020",1,,"@flipkartsupport
 Are flipkart payments systems working properly?I have ordered item on 18th. UPI transaction is successful but Flipkart denies it. On 18th of June i see lots of people having the same issue.   #Flipkart #FlipkartTransactionFAIL"
SyntaxError,@DataAugmented,"Jun 25, 2020",,,Google to offer loans to merchants in India http://feedproxy.google.com/~r/Techcrunch/~3/mkN2wyUYyfc/… #Onlinelending #GoogleIndia #Payments #BharatPe #Flipkart #Softbank #TC
ALi,@iamali_morsalin,"Jun 24, 2020",2,,"Why my orders are cancelled?
While the Shipment and payments are done. the products got cancelled! I/We are worrying about to buy or order at Flipkart! There must be any tie up or #Black-Market fact apart from the sellers!! #FlipkartWorstService #Flipkart"
ePay Technologies,@ePayindia,"Jun 20, 2020",,,#payments #payment #paymentsolutions #fintech #fintechs #fintechstartups #digitalbank #neobank #neobanks #jioplatforms #jio #flipkart #paytm https://lnkd.in/d9TykkJ
The Banking & Finance Post,@BFSIPost,"Jun 6, 2020",,1,"#Flipkart-owned digital payments firm 
@PhonePe_
 is restructuring the company in a bid to make it a flatter organization. The company is planning to increase its #workforce by nearly 20-30 percent. #EletsBFSI #Covid19"
Taro - The Great Sun,@JavedaHasrat,"Jun 3, 2020",,,"Payment Delay, Product Delisting Increasing Troubles For Amazon, Flipkart Sellers

 https://buff.ly/2Mq4LBE via 
@inc42
 

#OnlineBusiness #Flipkart #amazon #payments #sellers #AffiliateMarketing"
Bdbose,@Bdbose1,"Jun 2, 2020",,,"@SBICard_Connect
 Service Request No: 175650956373
Case created on:
Apr 14, 2020
Transaction Date:
Mar 4, 2020
Status:
Credit received-Dispute Closed
Dispute Service Request Number:
175652448284
Trxn Amount:
7099
Merchant Description:
#FLIPKART PAYMENTS G"
Prasen Belekar,@PrasenBelekar,"Jun 1, 2020",,,"Dear #Flipkart ,
Why you are not giving 20 supercoin as per your t&c, on recharges and bill payments.
Previous month I made 2 successful recharges, but for every recharge you credited +10Supercoin. I wrote DM your team but no resolution yet."
YourStory,@YourStoryCo,"Apr 28, 2020",,1,"India’s leading ecommerce marketplace #Flipkart has invested additional $90 million into its operations in the country. This includes both the marketplace and its digital payments platform, PhonePe, according to a report.


@Flipkart
 
@PhonePe_"
Hans Hagen,@hanhagen1,"Apr 28, 2020",,,"#flipkart injects $90 mill in #Phonepe, taking the total capital raised to almost $1 Bill in the lossmaking #payments company."
Biggdeals,@BiggDeals4U,"Apr 28, 2020",1,,"#Flipkart : Get Flat Rs.100 Off on Recharges & Bill Payments Min. Value Rs.200

https://flipkart.com/plus-offer-summary/2004T10MID25…

RT and Spread "
DealHub,@Hubof_Deal,"Apr 28, 2020",,,"https://ift.tt/2xdiacl

50 Off on Recharges & Bill Payments min value 100 rs
  
#deal #loot #amazon #Flipkart #amazonIN #WeLoveSidharth #AmazonDeals #Offers #Discounts #NewDeals #tiktok #instagram #trick #trending https://ift.tt/2YbBEJi"
Nitin Sethi,@nitinsethi80,"Apr 27, 2020",,2,"Flipkart infuses $28 Mn in its payments arm PhonePe https://entrackr.com/2020/04/flipkart-infuses-28-mn-in-its-payments-arm-phonepe/…
#Flipkart #Investment #Startup #Unicorn #Payments #Digital #Funding #Walmart #India #Transactions"
Ankit Nzy...,@AnkitNzy,"Apr 25, 2020",1,,"Make the phone one of the essential product.. All the schools, payments, and many more are proceedings with a phn... What about the families and the poors who don't have the smart phones but want to buy it through online #flipkart #Covid19 #Government #IndiaFightsCorona #India"
Teerth G,@Teerth_Upadhyay,"Apr 19, 2020",,,"Expect the follow up of this notification by #Flipkart #Amazon, other Smartphone E-com, etc who may stop accepting orders soon.

Payments already made for non essential orders eg, smartphones could be refunded soon.
#IndiaFightsCorona #Lockdown2 #ecommerce  #COVID"
Business Standard,@bsindia,"Apr 17, 2020",,2,"#Amazon has already announced waiver of commissions for small sellers by almost half. 

#Flipkart said it is taking steps to settle the payments related to cancelled orders during the #lockdown period 

#ecommerce #COVID19

@PeerzadaAbrar"
Abhinav Pathak,@abhinavpathak27,"Apr 11, 2020",1,,"Grocery Delivery is the new Lending 

#grocery #online #delivery #lending #payments #stores #dunzo #zomato #swiggy #flipkart #amazon #bigbasket"
